symbol,date,entry,sl,tp,exit,exit_reason,hold_days,pnl_pct,risk_pct,win
PM,2025-05-21,168.66,151.45,203.09,177.02,timeout,20,4.95,10.2,True
PSX,2026-01-05,138.84,128.91,158.69,146.88,timeout,20,5.79,7.15,True
PTC,2025-09-16,204.95,199.94,214.96,203.98,below_sma,1,-0.47,2.44,False
PHM,2026-02-27,136.91,122.26,166.2,122.26,stop,6,-10.7,10.7,False
PWR,2025-01-14,319.46,312.76,332.86,332.86,target,2,4.19,2.1,True
PWR,2025-09-10,389.9,371.6,426.49,382.26,below_sma,2,-1.96,4.69,False
RF,2025-08-12,24.59,22.46,28.84,26.5,timeout,20,7.79,8.64,True
RSG,2025-01-15,206.99,201.2,218.56,218.56,target,12,5.59,2.8,True
RSG,2025-01-17,210.91,201.69,229.35,229.35,target,19,8.74,4.37,True
RSG,2025-01-27,212.72,202.45,233.26,230.42,timeout,20,8.32,4.83,True
RSG,2025-02-12,220.55,203.79,254.06,226.25,timeout,20,2.59,7.6,True
RSG,2025-05-27,252.14,234.39,287.65,241.23,below_sma,20,-4.33,7.04,False
RSG,2025-05-30,254.5,236.22,291.05,241.23,below_sma,17,-5.21,7.18,False
RSG,2025-06-24,248.03,240.63,262.83,240.63,stop,1,-2.98,2.98,False
ROK,2025-08-26,353.14,326.68,406.06,335.44,below_sma,4,-5.01,7.49,False
ROK,2026-01-05,403.33,372.87,464.25,428.82,timeout,20,6.32,7.55,True
ROST,2025-10-17,155.62,144.08,178.7,159.88,timeout,20,2.73,7.42,True
ROST,2026-01-29,186.1,176.37,205.57,205.57,target,20,10.46,5.23,True
ROST,2026-02-02,189.71,177.54,214.04,197.22,timeout,20,3.96,6.41,True
SPGI,2025-02-28,529.55,495.23,598.18,495.23,stop,5,-6.48,6.48,False
NOW,2025-01-27,228.12,206.38,271.6,206.38,stop,3,-9.53,9.53,False
STT,2025-01-15,96.23,89.89,108.9,95.5,timeout,20,-0.75,6.58,False
STT,2025-02-18,96.87,92.2,106.21,93.76,below_sma,5,-3.22,4.82,False
STT,2025-08-12,109.16,100.33,126.83,108.53,timeout,20,-0.58,8.09,False
STT,2025-09-19,111.2,106.46,120.68,109.55,below_sma,15,-1.49,4.26,False
STT,2025-12-03,119.32,111.08,135.79,128.21,timeout,20,7.46,6.9,True
SYF,2026-01-16,79.86,75.64,88.32,75.64,stop,1,-5.29,5.29,False
TTWO,2025-06-27,241.44,222.1,280.13,231.07,below_sma,16,-4.3,8.01,False
TKO,2026-01-13,208.05,188.85,246.45,194.1,below_sma,10,-6.71,9.23,False
TSN,2026-01-20,60.41,54.78,71.67,63.45,timeout,20,5.02,9.32,True
USB,2025-08-22,46.83,42.75,54.97,48.0,timeout,20,2.51,8.7,True
UBER,2025-06-05,84.67,76.14,101.73,96.68,timeout,20,14.18,10.07,True
UBER,2025-06-24,91.65,78.99,116.96,89.94,timeout,20,-1.87,13.81,False
UHS,2025-12-19,227.24,214.61,252.5,217.81,below_sma,7,-4.15,5.56,False
VRTX,2026-03-10,499.17,441.15,615.22,451.59,below_sma,6,-9.53,11.62,False
VRT,2025-01-03,125.46,113.53,149.32,149.32,target,11,19.02,9.51,True
VRT,2026-01-02,175.57,163.52,199.67,163.52,stop,2,-6.86,6.86,False
WMT,2025-02-28,97.48,90.94,110.55,93.55,below_sma,4,-4.03,6.71,False
WMT,2025-06-20,95.5,93.12,100.27,94.25,below_sma,13,-1.31,2.5,False
WMT,2025-09-17,103.84,96.04,119.46,108.59,timeout,20,4.57,7.52,True
WMT,2026-01-16,119.45,106.7,144.96,128.59,timeout,20,7.64,10.68,True
WTW,2025-02-21,321.25,304.91,353.92,314.5,below_sma,14,-2.1,5.08,False
WTW,2025-10-02,343.68,318.75,393.55,326.01,below_sma,10,-5.14,7.26,False
