symbol,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
A,2017-01-11,45.40745819091797,44.11549202600353,44.11549202600353,49.283356685661296,3.0,2.8452730374871544,-2.8452730374871544,False,stop,7,2017
CI,2017-01-11,128.35974792480468,131.95966236583115,125.95980496412037,131.95966236583115,1.5,1.8697005872045191,2.8045508808067785,True,target,1,2017
ROP,2017-01-11,177.05570526123046,182.5407080699361,173.39903672209337,182.5407080699361,1.500000000000004,2.0652644509489186,3.097896676423386,True,target,16,2017
ROK,2017-01-11,118.2025724029541,126.00018538397916,115.60336807594575,126.00018538397916,3.0,2.19894057647716,6.596821729431481,True,target,9,2017
CI,2017-01-12,130.18652572631837,125.69579987605917,125.69579987605917,143.65870327709595,3.0,3.449455176106106,-3.449455176106106,False,stop,4,2017
CI,2017-01-13,131.66234115600585,125.70817606120337,125.70817606120337,149.52483644041328,3.0,4.522299271397145,-4.522299271397145,False,stop,3,2017
RSG,2017-01-19,48.99003353118896,49.658741794601156,48.856291878506525,49.658741794601156,5.0,0.2729976753277649,1.3649883766388249,True,target,1,2017
CI,2017-01-19,129.7275540161133,136.26640612498727,125.36831927686397,136.26640612498727,1.5000000000000016,3.3602998008486784,5.040449701273023,True,target,10,2017
MA,2017-01-20,103.21957740783691,101.68751961247995,101.68751961247995,107.8157507939078,3.0,1.484270555869028,-1.484270555869028,False,stop,7,2017
PTC,2017-01-24,51.638399848937986,54.849998474121094,48.35186526873683,61.498003589541455,3.0,6.3645166965194955,6.2193999709097465,True,timeout,20,2017
URI,2017-01-24,108.68654937744141,121.80966200765937,104.31217850070209,121.80966200765937,3.0,4.024758262909071,12.07427478872721,True,target,2,2017
WDC,2017-01-24,50.741873245239255,50.21597671508789,47.24349219195595,61.237016405089165,3.0,6.8944657135052285,-1.0364152848864427,False,timeout,20,2017
ROK,2017-01-24,118.51128273010254,121.29652337745293,116.65445563186894,121.29652337745293,1.5,1.566793519957362,2.350190279936043,True,target,1,2017
IP,2017-01-24,35.224141387939454,33.52212044678737,33.52212044678737,40.33020421139571,3.0,4.831972829108753,-4.831972829108753,False,stop,7,2017
RCL,2017-01-25,78.59071403503418,86.96760209518466,75.79841801498402,86.96760209518466,3.0,3.5529592195910182,10.658877658773054,True,target,1,2017
CCL,2017-01-25,49.37212978363037,50.26600646972656,46.94438114724451,56.65537569278794,3.0,4.917245107766836,1.8104884071510365,True,timeout,20,2017
LYB,2017-01-25,55.80716377258301,54.470008850097656,52.18626318888811,66.66986552366771,3.0000000000000018,6.488236167045236,-2.3960273772993146,False,timeout,20,2017
ZTS,2017-01-31,50.59075080871582,49.73618479391432,49.73618479391432,53.154448853120314,3.0,1.689174406666986,-1.689174406666986,False,stop,12,2017
ADSK,2017-02-07,83.655,87.22130518916336,81.27746320722443,87.22130518916336,1.5,2.842073746668546,4.263110620002819,True,target,9,2017
