symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
MMM,A,2016-05-04,99.76898872375489,102.93216927564103,97.66020168916413,102.93216927564103,1.5,2.1136698502875193,3.1705047754312785,True,target,5,2016
MMM,A,2017-05-03,121.02936561584472,127.16378784179688,116.45443153468939,134.7541678593107,2.999999999999997,3.7800198801970755,5.068540345343307,True,timeout,20,2017
MMM,B,2017-11-30,151.4106930541992,148.0525665283203,145.80706935150957,168.22156416226815,3.0,3.7009431696371426,-2.2178925795398223,False,timeout,20,2017
MMM,B,2017-12-13,148.90109985351563,147.39756440035384,147.39756440035384,153.6257131699897,3.1423358235674868,1.009754430720069,-1.009754430720069,False,stop,7,2017
MMM,A,2020-10-16,116.17667221069335,110.5276107788086,109.14487394500229,126.72436960922995,1.5,6.052676610445924,-4.862474819075424,False,below_sma,7,2020
MMM,A,2021-03-15,130.9385124206543,137.1403045654297,118.47682917443909,168.3235621592999,3.0000000000000013,9.517202399688705,4.736415612277205,True,timeout,20,2021
MMM,A,2025-11-24,167.11454086303712,161.44557189941406,153.365051036003,187.7387756035883,1.499999999999999,8.227584359821124,-3.392265528987811,False,below_sma,16,2025
MMM,A,2026-01-12,165.51790603637696,159.70800224801673,159.70800224801673,174.2327617189173,1.4999999999999976,3.510136110037152,-3.510136110037152,False,stop,5,2026
AOS,B,2016-04-18,33.37016109466553,32.6813917380293,32.6813917380293,35.43646916457421,3.0,2.064027664362501,-2.064027664362501,False,stop,7,2016
AOS,A,2016-05-16,33.22257350921631,35.7172027990018,31.559487316025987,35.7172027990018,1.5,5.00589213153209,7.508838197298136,True,target,15,2016
AOS,A,2016-05-18,33.70588508605957,35.591590881347656,31.59107824983375,36.87809534039829,1.4999999999999982,6.274295514941043,5.594589165878333,True,timeout,20,2016
AOS,B,2016-05-24,34.895245399475094,36.03308868408203,33.37734324136325,39.44895187381063,3.0,4.349882457438393,3.260740171278615,True,timeout,20,2016
AOS,B,2016-06-07,35.23567497253418,36.36585402558683,34.48222227049908,36.36585402558683,1.5000000000000047,2.1383234537791767,3.207485180668775,True,target,9,2016
AOS,B,2016-08-29,40.71522285461426,39.95609581407825,39.95609581407825,42.992603976222284,3.0,1.8644796400763795,-1.8644796400763795,False,stop,8,2016
