symbol,date,entry,exit,sl,tp,risk_pct,pnl_pct,win,reason,days
AOS,2024-01-19,77.14301124572754,74.76099395751953,73.00634403012965,83.34801206912437,5.36233567862829,-3.0877940201484284,False,below_sma,8
AOS,2024-01-22,78.0074560546875,74.76099395751953,73.24962409348832,85.14420399648625,6.099201540252348,-4.161733071889969,False,below_sma,7
A,2024-02-06,132.20620971679688,127.54572296142578,124.98679459794639,143.0353323950726,5.460723164453039,-3.5251647901823016,False,below_sma,5
ABNB,2024-01-26,148.1237951660156,149.27000427246094,129.9648036523618,175.36228243649632,12.259334493354961,0.7738183491455015,True,timeout,20
ALLE,2024-02-01,122.71874496459961,123.53939056396484,110.53465050226268,140.994886658105,9.928470557494414,0.6687206584470574,True,timeout,20
ALLE,2024-02-08,125.89210464477539,127.48524475097656,112.68014505838327,165.52798340395174,10.49466892595986,1.2654805563037286,True,timeout,20
AMCR,2024-05-01,44.972864112854005,46.37361526489258,40.676266029831,57.862658361923025,9.55375684377408,3.1146585383656165,True,timeout,20
AME,2024-04-10,175.64983154296874,175.62759399414062,170.8424265784672,182.86093898972103,2.7369254625931747,-0.012660159496182604,False,below_sma,11
APO,2024-03-20,108.3160018157959,104.49520111083984,99.28362152766705,121.86457224798917,8.338915891199044,-3.527457292463377,False,below_sma,17
AMAT,2024-01-18,155.75136932373047,173.48438661874627,143.92935779371993,173.48438661874627,7.590309851747367,11.385464777621044,True,target,5
ANET,2024-03-20,73.40354667663574,67.80500030517578,63.715207264113964,102.46856491420107,13.198734735804754,-7.627078833292902,False,below_sma,16
ADSK,2024-01-19,246.15359939575194,258.29998779296875,219.89421510655365,324.9317522633468,10.667885561559444,4.934475232957503,True,timeout,20
BAC,2024-02-29,32.617377548217775,35.50259786576343,30.693897336520674,35.50259786576343,5.897102576237616,8.84565386435643,True,target,15
BAC,2024-03-04,33.21266006469727,35.600154876708984,30.676459493460463,40.82126177840768,7.636246438244819,7.188508259684554,True,timeout,20
BBY,2024-09-27,93.62687530517579,86.16593933105469,80.65065406715493,113.09120716220707,13.859504758355975,-7.968797366997733,False,below_sma,16
BLK,2024-12-05,1007.9441125488281,986.9027709960938,939.5630295965243,1110.5157369772837,6.784213737742449,-2.087550419787293,False,below_sma,20
BX,2024-03-04,118.07501564025878,125.12350141880705,113.3760251212266,125.12350141880705,3.9796653792946985,5.969498068942047,True,target,13
