symbol,date,entry,sl,tp,exit,exit_reason,hold_days,pnl_pct,risk_pct,win,year,month
LYV,2024-12-20,133.28,123.05,153.74,128.51,below_sma,12,-3.58,7.68,False,2024,2024-12
L,2025-05-16,89.16,84.32,98.85,88.44,timeout,20,-0.81,5.43,False,2025,2025-05
MKC,2023-05-19,83.32,76.04,97.88,87.09,timeout,20,4.52,8.74,True,2023,2023-05
MCK,2025-01-14,590.74,569.06,634.09,580.51,below_sma,1,-1.73,3.67,False,2025,2025-01
MCK,2025-12-19,819.57,798.69,861.32,819.61,below_sma,7,0.0,2.55,True,2025,2025-12
META,2025-02-28,665.53,613.89,768.8,625.42,below_sma,4,-6.03,7.76,False,2025,2025-02
MET,2023-10-17,59.31,56.46,65.02,57.44,below_sma,2,-3.16,4.81,False,2023,2023-10
MPWR,2023-08-23,508.68,488.08,549.88,488.08,stop,1,-4.05,4.05,False,2023,2023-08
MS,2024-05-31,93.07,87.0,105.23,94.33,timeout,20,1.35,6.53,True,2024,2024-05
MS,2025-01-06,124.45,118.92,135.51,119.43,below_sma,3,-4.03,4.44,False,2025,2025-01
NFLX,2023-08-23,42.76,41.38,45.51,41.38,stop,1,-3.22,3.22,False,2023,2023-08
NKE,2023-02-28,111.91,111.36,113.0,111.36,stop,1,-0.49,0.49,False,2023,2023-02
NUE,2026-02-27,176.28,167.25,194.34,171.52,below_sma,4,-2.7,5.12,False,2026,2026-02
NVDA,2025-09-10,177.3,165.03,201.85,170.27,below_sma,5,-3.96,6.92,False,2025,2025-09
ODFL,2023-03-31,167.55,161.96,178.75,161.96,stop,1,-3.34,3.34,False,2023,2023-03
ORCL,2023-08-23,114.15,108.76,124.93,109.37,below_sma,1,-4.18,4.72,False,2023,2023-08
PEP,2026-04-08,154.8,154.39,155.63,154.39,stop,1,-0.27,0.27,False,2026,2026-04
PRU,2026-01-30,109.62,107.39,114.1,107.39,stop,2,-2.04,2.04,False,2026,2026-01
RJF,2025-01-15,158.7,151.09,173.92,157.71,timeout,20,-0.63,4.8,False,2025,2025-01
HOOD,2023-08-29,11.02,10.63,11.8,10.89,below_sma,2,-1.18,3.52,False,2023,2023-08
ROST,2026-01-29,186.1,176.37,205.57,205.57,target,20,10.46,5.23,True,2026,2026-01
RCL,2025-01-17,237.48,222.08,268.28,227.94,below_sma,4,-4.02,6.48,False,2025,2025-01
CRM,2025-01-27,343.99,319.24,393.48,327.84,below_sma,8,-4.69,7.19,False,2025,2025-01
SLB,2026-03-19,47.82,45.57,52.31,46.63,below_sma,1,-2.49,4.7,False,2026,2026-03
SHW,2023-01-17,240.64,224.65,272.63,227.57,below_sma,2,-5.43,6.65,False,2023,2023-01
SHW,2023-08-23,266.21,252.36,293.9,256.01,below_sma,16,-3.83,5.2,False,2023,2023-08
SJM,2025-05-20,111.56,106.66,121.38,107.68,below_sma,5,-3.48,4.4,False,2025,2025-05
SWK,2023-08-30,85.14,81.5,92.42,83.73,below_sma,3,-1.66,4.28,False,2023,2023-08
SYK,2023-03-02,253.89,243.1,275.48,272.66,timeout,20,7.39,4.25,True,2023,2023-03
TPR,2025-08-26,99.7,92.72,113.67,113.67,target,17,14.01,7.01,True,2025,2025-08
TRGP,2024-05-30,112.35,106.74,123.55,123.55,target,15,9.98,4.99,True,2024,2024-05
TXN,2026-04-08,208.9,197.15,232.4,214.73,timeout,2,2.79,5.63,True,2026,2026-04
TXT,2023-09-15,76.03,72.4,83.29,75.32,below_sma,14,-0.93,4.78,False,2023,2023-09
TXT,2024-04-19,93.12,89.16,101.04,89.16,stop,4,-4.26,4.26,False,2024,2024-04
TKO,2023-06-26,99.66,94.51,109.95,100.43,timeout,20,0.77,5.17,True,2023,2023-06
TTD,2023-10-06,82.15,75.39,95.67,76.77,below_sma,8,-6.55,8.23,False,2023,2023-10
TFC,2024-09-19,40.04,38.28,43.58,39.16,below_sma,3,-2.21,4.42,False,2024,2024-09
USB,2023-02-28,40.96,39.12,44.63,39.74,below_sma,2,-2.98,4.48,False,2023,2023-02
USB,2024-09-18,41.92,39.34,47.07,46.17,timeout,20,10.13,6.14,True,2024,2024-09
USB,2024-09-26,42.03,39.85,46.39,46.39,target,14,10.38,5.19,True,2024,2024-09
UNH,2024-09-24,554.91,539.98,584.75,584.75,target,14,5.38,2.69,True,2024,2024-09
UHS,2024-10-14,219.11,216.83,223.68,223.68,target,1,2.08,1.04,True,2024,2024-10
UHS,2025-12-19,227.24,214.61,252.5,217.81,below_sma,7,-4.15,5.56,False,2025,2025-12
VLO,2025-10-22,159.88,148.35,182.93,182.93,target,19,14.42,7.21,True,2025,2025-10
VRT,2025-01-03,125.46,113.53,149.32,149.32,target,11,19.02,9.51,True,2025,2025-01
WAB,2023-08-29,111.19,107.8,117.97,108.09,below_sma,4,-2.79,3.05,False,2023,2023-08
WAB,2024-06-10,162.35,153.87,179.31,159.11,below_sma,10,-1.99,5.22,False,2024,2024-06
WMT,2024-10-31,80.83,77.07,88.34,88.34,target,16,9.3,4.65,True,2024,2024-10
WMT,2025-02-28,97.48,90.94,110.55,93.55,below_sma,4,-4.03,6.71,False,2025,2025-02
WBD,2023-03-31,15.1,13.99,17.33,13.99,stop,7,-7.37,7.37,False,2023,2023-03
WBD,2025-01-27,10.49,9.83,11.81,10.16,below_sma,5,-3.15,6.31,False,2025,2025-01
WBD,2026-02-10,27.8,27.11,29.19,29.19,target,6,4.99,2.5,True,2026,2026-02
WBD,2026-02-17,28.75,27.37,31.51,27.95,below_sma,11,-2.78,4.8,False,2026,2026-02
WBD,2026-02-24,29.15,27.7,32.04,27.95,below_sma,6,-4.12,4.96,False,2026,2026-02
WSM,2023-11-10,71.66,69.88,75.22,75.22,target,2,4.96,2.48,True,2023,2023-11
WSM,2024-05-31,142.84,137.06,154.39,137.06,stop,2,-4.05,4.05,False,2024,2024-05
WYNN,2023-03-29,105.76,98.22,120.85,102.86,below_sma,9,-2.74,7.13,False,2023,2023-03
YUM,2026-03-16,161.78,152.73,179.87,156.25,below_sma,3,-3.42,5.59,False,2026,2026-03
ZBRA,2023-03-30,309.11,293.48,340.36,300.15,below_sma,4,-2.9,5.05,False,2023,2023-03
ZTS,2023-09-12,182.21,171.94,202.74,174.97,below_sma,3,-3.97,5.63,False,2023,2023-09
