symbol,date,entry,sl,tp,tp_rr,risk_pct,exit_fixed,reason_fixed,days_fixed,pnl_fixed,win_fixed,exit_tight,reason_tight,days_tight,pnl_tight,win_tight,exit_wide,reason_wide,days_wide,pnl_wide,win_wide
LIN,2023-02-24,333.16,301.11,429.34,3.0,9.62,344.9,timeout,30,3.52,True,336.19,trail,7,0.91,True,329.41,trail,10,-1.13,False
LIN,2023-10-03,361.11,360.03,366.5,5.0,0.3,366.5,target,1,1.49,True,366.5,target,1,1.49,True,366.5,target,1,1.49,True
LIN,2023-10-04,366.71,359.65,377.3,1.5,1.93,359.65,stop,1,-1.93,False,359.65,stop,1,-1.93,False,359.65,stop,1,-1.93,False
LIN,2024-04-24,432.96,431.71,439.23,5.0,0.29,431.71,stop,1,-0.29,False,431.71,stop,1,-0.29,False,431.71,stop,1,-0.29,False
LOW,2024-02-12,221.26,200.59,283.25,3.0,9.34,242.01,timeout,30,9.38,True,214.7,trail,5,-2.96,False,242.01,timeout,30,9.38,True
LOW,2024-11-18,265.24,252.8,283.9,1.5,4.69,252.8,stop,1,-4.69,False,255.88,trail,1,-3.53,False,252.8,stop,1,-4.69,False
MAR,2023-01-20,161.65,146.48,184.4,1.5,9.39,170.0,timeout,30,5.17,True,165.85,trail,6,2.6,True,165.71,trail,21,2.51,True
MAR,2023-03-06,170.0,155.29,192.06,1.5,8.65,159.72,below_sma,4,-6.05,False,166.84,trail,3,-1.86,False,163.66,trail,3,-3.73,False
MAR,2024-03-13,246.58,229.33,298.31,3.0,6.99,240.9,below_sma,23,-2.3,False,242.03,trail,2,-1.85,False,242.68,trail,13,-1.58,False
MAR,2024-11-01,256.97,237.25,286.56,1.5,7.68,286.56,target,19,11.51,True,249.35,trail,1,-2.97,False,286.56,target,19,11.51,True
MAR,2026-02-04,323.93,299.39,360.75,1.5,7.58,360.75,target,4,11.36,True,346.86,trail,4,7.08,True,360.75,target,4,11.36,True
MU,2023-03-29,62.6,54.52,74.73,1.5,12.91,56.43,below_sma,4,-9.87,False,59.69,trail,2,-4.65,False,57.38,trail,3,-8.34,False
MU,2023-05-15,63.82,55.93,87.46,3.0,12.35,66.21,timeout,30,3.76,True,64.35,trail,3,0.84,True,67.39,trail,14,5.6,True
MSFT,2023-10-06,321.07,308.11,340.5,1.5,4.04,340.5,target,18,6.05,True,320.69,trail,10,-0.12,False,340.5,target,18,6.05,True
MSFT,2023-10-23,323.09,309.19,343.93,1.5,4.3,343.93,target,9,6.45,True,328.24,trail,3,1.59,True,343.93,target,9,6.45,True
MDLZ,2023-02-01,61.03,59.11,63.92,1.5,3.15,59.11,stop,4,-3.15,False,59.74,trail,4,-2.13,False,59.11,stop,4,-3.15,False
MDLZ,2023-03-20,61.95,58.46,72.42,3.0,5.63,71.37,timeout,30,15.2,True,63.48,trail,10,2.47,True,71.37,timeout,30,15.2,True
NDAQ,2024-04-25,58.76,56.13,62.7,1.5,4.47,58.67,below_sma,22,-0.15,False,58.91,trail,9,0.27,True,59.07,trail,22,0.53,True
NDAQ,2024-10-24,73.87,69.15,88.02,3.0,6.39,79.9,timeout,30,8.16,True,73.38,trail,5,-0.67,False,79.24,trail,28,7.26,True
NDAQ,2025-01-29,80.48,75.44,88.04,1.5,6.26,77.55,below_sma,23,-3.63,False,80.57,trail,8,0.11,True,79.04,trail,9,-1.79,False
NDAQ,2025-02-06,82.48,76.24,101.2,3.0,7.57,77.55,below_sma,17,-5.97,False,80.5,trail,2,-2.4,False,78.97,trail,3,-4.25,False
NDAQ,2025-09-02,92.75,89.88,97.06,1.5,3.1,91.97,below_sma,10,-0.84,False,91.94,trail,3,-0.88,False,92.1,trail,10,-0.7,False
NDAQ,2025-12-18,94.41,85.93,119.85,3.0,8.98,85.93,stop,30,-8.98,False,97.21,trail,8,2.97,True,95.84,trail,9,1.51,True
NTAP,2024-05-15,106.46,96.97,120.71,1.5,8.92,120.71,target,18,13.38,True,113.52,trail,11,6.63,True,111.26,trail,12,4.51,True
NTAP,2024-05-20,108.06,97.63,139.37,3.0,9.66,125.37,timeout,30,16.01,True,113.52,trail,8,5.06,True,111.26,trail,9,2.96,True
NTAP,2024-08-28,127.46,119.4,139.56,1.5,6.33,119.4,stop,1,-6.33,False,121.67,trail,1,-4.54,False,119.4,stop,1,-6.33,False
NFLX,2023-05-18,37.13,30.8,56.12,3.0,17.05,44.14,timeout,30,18.89,True,35.52,trail,3,-4.34,False,41.9,trail,23,12.84,True
NFLX,2024-05-29,65.46,58.67,85.84,3.0,10.38,64.76,timeout,30,-1.07,False,63.47,trail,2,-3.05,False,66.57,trail,29,1.69,True
NFLX,2024-09-24,72.23,63.94,97.08,3.0,11.47,76.39,timeout,30,5.77,True,70.17,trail,3,-2.85,False,70.1,trail,16,-2.94,False
NFLX,2024-10-08,72.18,65.39,92.53,3.0,9.4,87.13,timeout,30,20.72,True,71.34,trail,4,-1.15,False,70.1,trail,6,-2.87,False
NSC,2024-01-17,215.52,205.19,231.03,1.5,4.8,231.03,target,4,7.19,True,218.54,trail,1,1.4,True,231.03,target,4,7.19,True
NSC,2024-01-18,223.26,204.52,251.38,1.5,8.39,246.82,timeout,30,10.55,True,224.47,trail,5,0.54,True,219.94,trail,6,-1.49,False
NSC,2025-12-11,292.77,280.07,311.82,1.5,4.34,282.84,below_sma,17,-3.39,False,292.58,trail,3,-0.06,False,288.81,trail,6,-1.35,False
NSC,2026-02-03,297.01,280.03,347.93,3.0,5.72,291.26,below_sma,26,-1.94,False,306.39,trail,5,3.16,True,306.98,trail,22,3.36,True
OKE,2023-02-10,59.35,54.85,66.09,1.5,7.58,55.93,below_sma,11,-5.76,False,58.63,trail,3,-1.21,False,57.54,trail,5,-3.04,False
OKE,2024-10-28,89.07,83.99,96.69,1.5,5.7,96.69,target,8,8.56,True,88.19,trail,2,-0.98,False,87.04,trail,4,-2.27,False
OKE,2025-01-13,97.45,95.28,100.7,1.5,2.23,100.7,target,2,3.34,True,100.7,target,2,3.34,True,100.7,target,2,3.34,True
ORCL,2023-03-20,83.59,80.91,87.62,1.5,3.21,87.62,target,8,4.82,True,87.62,target,8,4.82,True,87.62,target,8,4.82,True
ORCL,2023-05-05,93.6,85.77,117.11,3.0,8.37,117.11,target,26,25.11,True,96.6,trail,9,3.21,True,95.88,trail,12,2.43,True
ORCL,2023-05-16,94.84,87.2,117.76,3.0,8.05,117.76,target,19,24.16,True,96.6,trail,2,1.86,True,95.88,trail,5,1.1,True
ORCL,2023-09-07,121.17,109.18,139.16,1.5,9.89,109.18,stop,3,-9.89,False,119.33,trail,3,-1.52,False,116.6,trail,3,-3.77,False
PH,2023-06-23,359.24,313.89,427.26,1.5,12.62,412.46,timeout,30,14.81,True,370.43,trail,8,3.11,True,363.2,trail,8,1.1,True
PH,2024-01-19,459.9,422.3,572.68,3.0,8.17,525.1,timeout,30,14.18,True,455.63,trail,3,-0.93,False,525.1,timeout,30,14.18,True
PH,2024-05-02,520.36,513.49,548.08,4.04,1.32,525.75,below_sma,1,1.04,True,548.08,target,5,5.33,True,548.08,target,5,5.33,True
PH,2025-01-30,695.8,638.62,781.56,1.5,8.22,649.0,below_sma,19,-6.73,False,685.55,trail,2,-1.47,False,671.33,trail,7,-3.52,False
PH,2025-11-04,765.9,728.5,822.01,1.5,4.88,822.01,target,2,7.33,True,822.01,target,2,7.33,True,822.01,target,2,7.33,True
PAYX,2024-09-30,127.92,119.85,140.03,1.5,6.31,140.03,target,27,9.46,True,130.67,trail,1,2.15,True,127.8,trail,1,-0.09,False
PAYX,2024-10-29,135.24,126.13,148.91,1.5,6.74,135.54,timeout,30,0.22,True,132.7,trail,3,-1.88,False,138.93,trail,13,2.73,True
PAYX,2025-02-24,144.78,135.14,173.71,3.0,6.66,138.67,below_sma,13,-4.22,False,143.39,trail,3,-0.96,False,143.5,trail,8,-0.89,False
PAYX,2025-02-25,145.85,135.39,177.24,3.0,7.17,138.67,below_sma,12,-4.93,False,145.98,trail,6,0.09,True,143.5,trail,7,-1.61,False
PAYX,2025-02-28,146.5,135.75,178.77,3.0,7.34,138.67,below_sma,9,-5.35,False,145.98,trail,3,-0.36,False,143.5,trail,4,-2.05,False
PAYX,2025-03-03,148.14,135.92,184.81,3.0,8.25,138.67,below_sma,8,-6.4,False,145.98,trail,2,-1.46,False,143.5,trail,3,-3.13,False
PAYX,2025-05-27,154.65,140.39,197.44,3.0,9.22,145.07,below_sma,17,-6.2,False,151.98,trail,4,-1.73,False,151.66,trail,10,-1.93,False
PNR,2023-06-21,58.96,53.78,66.74,1.5,8.79,66.74,target,25,13.18,True,61.07,trail,10,3.58,True,61.94,trail,16,5.04,True
PNR,2023-06-23,58.29,54.2,64.43,1.5,7.01,64.43,target,12,10.52,True,61.07,trail,8,4.77,True,64.43,target,12,10.52,True
PNR,2023-12-14,70.6,59.22,104.77,3.0,16.13,71.4,timeout,30,1.13,True,68.29,trail,2,-3.28,False,68.84,trail,12,-2.5,False
PNR,2024-01-29,71.76,65.06,91.86,3.0,9.34,80.26,timeout,30,11.85,True,71.32,trail,1,-0.6,False,80.26,timeout,30,11.85,True
PNR,2024-01-30,71.4,64.72,91.46,3.0,9.36,80.35,timeout,30,12.52,True,70.67,trail,4,-1.03,False,80.35,timeout,30,12.52,True
PNR,2024-09-12,89.45,79.14,120.39,3.0,11.53,98.14,timeout,30,9.71,True,94.24,trail,14,5.35,True,98.14,timeout,30,9.71,True
PNR,2024-10-22,97.09,88.0,110.73,1.5,9.36,107.4,timeout,30,10.62,True,97.03,trail,5,-0.06,False,107.4,timeout,30,10.62,True
PRU,2023-09-12,85.55,80.36,101.12,3.0,6.07,82.7,below_sma,14,-3.33,False,86.52,trail,7,1.13,True,85.22,trail,9,-0.39,False
PRU,2024-01-30,95.68,89.31,114.8,3.0,6.66,102.46,timeout,30,7.09,True,93.93,trail,2,-1.83,False,92.66,trail,2,-3.16,False
PRU,2024-05-01,101.98,98.71,107.79,1.77,3.21,107.79,target,7,5.69,True,107.79,target,7,5.69,True,107.79,target,7,5.69,True
