symbol,date,entry,exit,sl,tp,risk_pct,pnl_pct,win,reason,days,year,month
MMM,2020-10-16,116.1767024230957,110.52760314941406,109.14486078991078,126.72446487287309,6.0527123653210255,-4.862506127182529,False,below_sma,7,2020,10
MMM,2021-03-15,130.93852752685547,137.14028930664062,118.47681189901171,168.32367441038673,9.517226032107216,4.736391875579309,True,timeout,20,2021,3
MMM,2025-11-24,167.11454086303712,161.44557189941406,153.36505170324838,187.73877460272024,8.22758396054684,-3.392265528987811,False,below_sma,16,2025,11
MMM,2026-01-12,165.51790603637696,159.70800255064447,159.70800255064447,174.2327612649757,3.5101359272002934,-3.5101359272002934,False,stop,5,2026,1
AOS,2020-11-23,51.75168880462646,50.337669372558594,47.03215961493567,58.830982589162645,9.119565561440917,-2.732315533520247,False,timeout,20,2020,11
AOS,2021-05-27,64.56991607666015,62.561885833740234,60.93584071950477,70.02102911239322,5.628124640646664,-3.1098541936091353,False,below_sma,6,2021,5
AOS,2024-01-19,77.14301879882812,74.760986328125,73.00634388947064,83.34803116286434,5.362345126971258,-3.0878133987923593,False,below_sma,8,2024,1
AOS,2024-01-22,78.0074560546875,74.760986328125,73.24962567039569,85.14420163112521,6.099199518769473,-4.161742852230102,False,below_sma,7,2024,1
ABBV,2020-01-08,68.55052848815917,66.8467025756836,65.47777245488142,73.1596625380758,4.48246877310146,-2.4855036861895,False,below_sma,10,2020,1
ABBV,2020-01-15,69.27489349365234,66.8467025756836,66.13407103710601,73.98612717847183,4.533853894461959,-3.5051528707023474,False,below_sma,5,2020,1
ABBV,2024-09-03,186.10557357788085,187.29127502441406,168.6544129967424,212.2823144495885,9.377022001888378,0.6371122711362684,True,timeout,20,2024,9
ABBV,2025-02-28,200.22296813964843,198.62681579589844,171.24645062739938,287.15252067639557,14.47212464258294,-0.7971874348784663,False,timeout,20,2025,2
ABBV,2025-12-19,222.75953201293945,217.6710128183591,217.6710128183591,230.39231080481,2.284310416976805,-2.284310416976805,False,stop,9,2025,12
ABBV,2026-02-12,225.225,219.67999267578125,212.5346683263794,244.26049751043087,5.63451289760044,-2.4619857139388364,False,below_sma,20,2026,2
ACN,2020-01-21,188.81503692626953,196.89576721191406,180.97214228833752,200.57937888316752,4.15374472584754,4.279706964652387,True,timeout,20,2020,1
ACN,2024-11-13,358.31993774414065,344.6548156738281,335.4579282338844,392.61295200952503,6.380334193566684,-3.813665004616667,False,below_sma,13,2024,11
ADBE,2021-08-19,631.2833734130859,654.47998046875,586.0187674592852,699.180282343787,7.170251563742896,3.674515761479625,True,timeout,20,2021,8
ADBE,2021-08-20,640.8666265869141,641.2899780273438,586.8659779406253,802.8685725257806,8.426191411133697,0.06605921152179718,True,timeout,20,2021,8
ADBE,2021-11-04,667.3392169189453,607.8026634967584,607.8026634967584,845.948877185506,8.921482795071247,-8.921482795071247,False,stop,20,2021,11
AFL,2021-01-22,40.70269981384277,43.88417434692383,38.13114985025091,44.560024759230565,6.3178854851227655,7.8163722495849175,True,timeout,20,2021,1
AFL,2021-02-19,42.44770774841309,45.623138427734375,38.98075297082955,52.8485720811637,8.167590104351751,7.480806026422007,True,timeout,20,2021,2
AFL,2021-06-08,50.87639019012451,47.95469665527344,47.5556575904887,55.85748908957822,6.527060169218511,-5.742729631431665,False,below_sma,7,2021,6
AFL,2023-12-12,79.56445220947266,76.74751281738281,74.78209221233719,93.91153220087908,6.010674194733037,-3.540449678046643,False,below_sma,18,2023,12
A,2020-02-19,80.82018539428711,80.67050170898438,79.58660052393799,82.67056269981079,1.526332641197229,-0.18520581779476325,False,below_sma,1,2020,2
A,2021-07-20,142.9275338745117,156.52291524652236,133.86394629317127,156.52291524652236,6.341386670323536,9.512080005485295,True,target,19,2021,7
A,2024-02-06,132.20622482299805,127.54571533203125,124.98679271376042,143.0353729868545,5.460735391925182,-3.5251815844574965,False,below_sma,5,2024,2
APD,2020-06-30,207.8749085998535,228.03183516310776,194.43695755768402,228.03183516310776,6.464441106760374,9.696661660140569,True,target,4,2020,6
APD,2024-09-23,276.504873046875,308.13986498348277,255.41487842246983,308.13986498348277,7.627350068738154,11.441025103107242,True,target,13,2024,9
APD,2026-03-12,285.7833737182617,298.7099914550781,259.1466578416453,325.73844753318633,9.320596761824248,4.52322245644705,True,timeout,20,2026,3
ABNB,2024-01-26,148.1237951660156,149.27000427246094,129.9648036523618,175.36228243649632,12.259334493354961,0.7738183491455015,True,timeout,20,2024,1
ALGN,2020-01-06,283.02120483398437,270.7799987792969,259.7905908864413,352.7130466766136,8.208082486670842,-4.3251904258792155,False,below_sma,12,2020,1
ALLE,2020-01-16,117.3148413848877,128.08050537109375,109.33440171515721,141.25616039407916,6.802583181737579,9.176728075594418,True,timeout,20,2020,1
ALLE,2021-05-04,127.36107696533203,129.51824951171875,112.62042769524861,149.47205087045717,11.573904383751293,1.6937455286860563,True,timeout,20,2021,5
ALLE,2024-02-01,122.71874496459961,123.53937530517578,110.53464923318478,140.99488856172184,9.928471591629744,0.6687082244956941,True,timeout,20,2024,2
ALLE,2024-02-08,125.89208198547364,127.48526763916016,112.68014951391874,165.52787940013835,10.494649276734808,1.2655169638630266,True,timeout,20,2024,2
ALLE,2024-08-30,134.94662567138673,143.56333923339844,121.24114837776197,155.50484161182385,10.156220820963277,6.38527530358156,True,timeout,20,2024,8
ALLE,2025-06-23,140.4936831665039,152.07438901552848,132.7732126004875,152.07438901552848,5.495243908487041,8.24286586273056,True,target,12,2025,6
ALL,2024-05-31,160.33119186401368,158.62356122804394,158.62356122804394,164.1047334390786,1.0650645180870841,-1.0650645180870841,False,stop,1,2024,5
ALL,2024-08-26,175.23305145263672,186.3531036376953,157.7350957649548,201.47998498415961,9.985533860552215,6.3458646030964125,True,timeout,20,2024,8
GOOGL,2020-06-23,71.87297882080078,77.60112762451172,65.65849995171352,81.19469712443167,8.646474615420733,7.969822453015056,True,timeout,20,2020,6
GOOGL,2021-01-20,92.30060371398926,104.42740631103516,83.3784757154535,119.06698770959653,9.666380976426378,13.138378416920293,True,timeout,20,2021,1
GOOGL,2021-03-05,102.95404815673828,110.03852081298828,90.48368402061169,121.65959436092817,12.112553473508475,6.881198731947409,True,timeout,20,2021,3
GOOGL,2023-10-06,135.08768737792968,126.96869289989661,126.96869289989661,147.2661790949793,6.010166163640711,-6.010166163640711,False,stop,13,2023,10
GOOGL,2024-12-10,182.4746923828125,191.15625,162.44911394350007,242.55142770074977,10.974441539159246,4.757677628508902,True,timeout,20,2024,12
GOOG,2021-01-20,92.64096908569336,104.99797821044922,83.74292522808082,119.33510065853096,9.604869147452247,13.338600887611147,True,timeout,20,2021,1
GOOG,2021-03-05,103.52281173706055,110.37134552001953,91.11087711474106,122.14071367053978,11.989564825426871,6.615482779151802,True,timeout,20,2021,3
GOOG,2024-12-10,183.81905364990234,192.28541564941406,164.07720041096,243.0446133667294,10.739829656909368,4.605813070736705,True,timeout,20,2024,12
MO,2025-03-03,52.06992736816406,56.075103759765625,46.92681134996415,67.49927542276379,9.877325124414234,7.691918529639357,True,timeout,20,2025,3
AMCR,2020-09-17,44.58737274169922,42.09358215332031,41.415303099956475,49.34547720431334,7.114277982062276,-5.5930422337861865,False,below_sma,4,2020,9
AMCR,2021-11-03,50.40484256744385,48.75396728515625,48.49782387292436,53.26537060922309,3.7834037314327893,-3.2752315019705858,False,below_sma,15,2021,11
AMCR,2024-05-01,44.9728678894043,46.37361145019531,40.676267677783706,57.86266852426608,9.553760774577778,3.1146413971990254,True,timeout,20,2024,5
AXP,2024-05-31,232.50566024780272,221.34245696918484,221.34245696918484,249.25046516572957,4.801260866819427,-4.801260866819427,False,stop,7,2024,5
AXP,2025-09-17,330.02052429199216,314.5645446777344,301.54245480832657,415.45473274298894,8.629181334936932,-4.683338906698664,False,below_sma,17,2025,9
AIG,2021-01-06,35.30991817474365,33.35149002075195,31.234012293493496,41.423776996618884,11.543232303963688,-5.546396749773594,False,below_sma,14,2021,1
AIG,2021-01-15,36.31099479675293,33.35149002075195,32.65327038676999,41.797581411727336,10.073324706350451,-8.150437057884261,False,below_sma,7,2021,1
AIG,2023-02-16,57.22244487762451,56.36944723611453,56.36944723611453,59.55790316048371,1.4906696897243623,-1.4906696897243623,False,stop,1,2023,2
AIG,2023-10-17,59.28391639709473,55.90193557739258,55.0540090522782,71.97363843154432,7.1349998479922006,-5.704718961292995,False,below_sma,4,2023,10
AIG,2024-10-17,75.88699104309082,73.32369995117188,69.44699974741815,85.54697798659981,8.486291533177086,-3.3777740515017007,False,timeout,20,2024,10
AMP,2021-05-27,240.16403594970703,228.2936553955078,221.63781567220298,267.9533663659631,7.713986069664338,-4.9426137045286005,False,below_sma,14,2021,5
AME,2024-04-10,175.64980133056642,175.62759399414062,170.84242893770374,182.86085991986045,2.7369073898440557,-0.012642961311410978,False,below_sma,11,2024,4
AME,2025-12-11,201.48172256469726,209.42750549316406,185.9584632475884,224.76661154036054,7.7045496333416645,3.943674308182147,True,timeout,20,2025,12
AMGN,2023-09-20,248.94376007080078,262.6853942871094,223.64888292329908,324.82839151330586,10.160880168399364,5.519975360057392,True,timeout,20,2023,9
AMGN,2026-01-21,337.82317932128905,370.638154513329,315.9465291932624,370.638154513329,6.475769416408434,9.71365412461265,True,target,11,2026,1
APH,2020-01-14,25.5614635848999,24.33485474010925,24.33485474010925,29.241290119271852,4.798664367228383,-4.798664367228383,False,stop,8,2020,1
APH,2023-11-30,44.13629024505615,48.678306579589844,40.654838012376054,54.58064694309645,7.887958442701394,10.2908883128039,True,timeout,20,2023,11
APH,2024-12-16,73.7189641571045,68.83313751220703,67.55099648189614,92.22286718272957,8.366866986985377,-6.627638764002632,False,below_sma,9,2024,12
AON,2021-03-24,215.27202255249023,226.0242012378111,208.10390342894297,226.0242012378111,3.329795966310225,4.994693949465331,True,target,4,2021,3
AON,2021-03-26,218.2352096557617,221.60791015625,208.72552279401137,232.49973994838723,4.357540140635721,1.5454428759723506,True,timeout,20,2021,3
AON,2023-06-29,332.5562210083008,314.019775390625,310.9430693959844,397.39567584524985,6.499097068996608,-5.573928390656419,False,below_sma,20,2023,6
AON,2023-09-14,329.9148715209961,318.9533386230469,317.55997877352394,348.4472106422043,3.744872939650395,-3.322533733448754,False,below_sma,11,2023,9
AON,2024-10-08,347.6859878540039,366.4869079589844,330.04721316891414,400.6023119092731,5.073191126844147,5.407442566502032,True,timeout,20,2024,10
AON,2025-02-26,393.58173889160156,395.0677795410156,359.50580798326916,495.80953161659875,8.65790445570378,0.3775684953267975,True,timeout,20,2025,2
APA,2025-10-23,24.14420545578003,22.327680587768555,21.030086114947967,28.81538446702812,12.897998845046086,-7.5236473253941965,False,below_sma,4,2025,10
APO,2024-03-20,108.3160018157959,104.49520874023438,99.28362191027533,121.86457167407676,8.33891553796566,-3.527450248818483,False,below_sma,17,2024,3
APO,2024-06-24,114.19798645019532,121.74906921386719,105.99323319081772,126.50511633926172,7.184674191217812,6.612273121790194,True,timeout,20,2024,6
AAPL,2021-08-16,146.18449127197266,144.7297821044922,133.59928032924975,183.9401241001414,8.60912866557673,-0.995118671497117,False,timeout,20,2021,8
AAPL,2023-12-05,189.51699188232422,182.35560607910156,173.80418993289646,236.6553977306075,8.290972642275909,-3.778756581187896,False,below_sma,19,2023,12
AAPL,2025-10-20,259.12370819091797,267.2099609375,232.42384298076732,339.2233038213699,10.303906731096422,3.120614783971916,True,timeout,20,2025,10
AAPL,2025-11-21,268.5238137817383,270.7166748046875,249.49029023075946,297.0740991082065,7.088206920243458,0.8166355870141258,True,timeout,20,2025,11
AMAT,2023-01-23,109.8745841217041,108.18453216552734,96.45279554401846,130.00726698823257,12.215553473967024,-1.5381645989255806,False,timeout,20,2023,1
AMAT,2023-08-21,143.89055419921874,135.35919189453125,131.9696965017328,161.77184074544763,8.284670084028804,-5.929063483121821,False,below_sma,18,2023,8
AMAT,2024-01-18,155.75138442993165,173.4844298788359,143.92935413066215,173.4844298788359,7.590321166350796,11.385481749526194,True,target,5,2024,1
AMAT,2025-07-31,177.18123779296874,169.29438328716495,169.29438328716495,193.22420471430786,4.451292136822841,-4.451292136822841,False,stop,11,2025,7
APTV,2021-10-04,156.08340362548827,170.47000122070312,148.94625104404255,170.47000122070312,4.572653091657868,9.217250047759423,True,target,13,2021,10
APTV,2025-11-07,82.82340362548828,82.55999755859375,80.09097201088825,87.4000015258789,3.2991056814756963,-0.3180333762732146,False,below_sma,1,2025,11
ACGL,2021-05-07,38.399279823303225,37.07553482055664,35.384788502116926,42.92101680508267,7.850385046432318,-3.447317264380693,False,below_sma,13,2021,5
ACGL,2023-06-30,70.4630037689209,75.34857410189761,67.20595688026975,75.34857410189761,4.622350332001787,6.93352549800267,True,target,10,2023,6
ACGL,2023-08-30,72.57171615600586,72.13516235351562,70.32327072415735,75.94438430377863,3.0982393016792855,-0.6015481314397849,False,below_sma,3,2023,8
ACGL,2023-10-13,79.22734977722168,81.72972869873047,72.51000431149716,89.30336797580846,8.478568934355287,3.1584786422178692,True,timeout,20,2023,10
ANET,2021-08-03,23.461144580841065,22.754375457763672,21.87148906387747,25.84562785628646,6.775694644760627,-3.0125091324596234,False,below_sma,8,2021,8
ANET,2023-10-06,48.019951057434085,43.76732024899182,43.76732024899182,54.39889727009748,8.855966561390115,-8.855966561390115,False,stop,14,2023,10
ANET,2024-03-20,73.40354667663574,67.80500030517578,63.715207264113964,102.46856491420107,13.198734735804754,-7.627078833292902,False,below_sma,16,2024,3
AJG,2020-12-10,111.84698570251464,111.98417663574219,102.02343723812479,141.31763109568422,8.78302477504228,0.1226594819394039,True,timeout,20,2020,12
AJG,2023-06-30,211.95482162475585,209.4447021484375,199.48970940385456,249.35015828745972,5.881023194164219,-1.1842709956191793,False,timeout,20,2023,6
AJG,2023-09-14,223.95639633178712,228.1636199951172,212.29848209038315,241.44326769389306,5.2054392874463815,1.8785905346937033,True,timeout,20,2023,9
AJG,2024-10-01,279.5669302368164,274.974455635905,274.974455635905,296.8308987776195,1.6427102436691001,-1.6427102436691001,False,stop,18,2024,10
ADSK,2020-08-05,240.76799697875975,231.8800048828125,223.20192846842173,267.1170997442668,7.295848588999842,-3.691517231308504,False,below_sma,3,2020,8
ADSK,2023-09-06,219.97799697875976,207.72999572753906,202.28243392563914,246.5213415584407,8.044242286117933,-5.56783015548747,False,below_sma,10,2023,9
ADSK,2024-01-19,246.15359939575194,258.29998779296875,219.89421510655365,324.9317522633468,10.667885561559444,4.934475232957503,True,timeout,20,2024,1
ADSK,2025-06-23,297.9405120849609,286.1099853515625,277.7125255607531,328.28249187127267,6.789270241449947,-3.970768074005597,False,below_sma,12,2025,6
ADP,2024-09-03,262.00355438232424,270.3604431152344,238.41631697576966,297.3844104921561,9.00264023599287,3.18960891679946,True,timeout,20,2024,9
ADP,2025-05-27,314.5429220581055,292.32855224609375,288.1083499767856,393.84663830206523,8.404122371711374,-7.062428767005629,False,below_sma,20,2025,5
ADP,2025-06-03,315.33475891113284,292.32855224609375,291.2955643317768,351.3935507801669,7.623388763853567,-7.295804225477935,False,below_sma,15,2025,6
AXON,2020-01-14,70.64640060424804,77.98538068546816,65.75374721676796,77.98538068546816,6.925552251257767,10.38832837688664,True,target,5,2020,1
BKR,2021-02-22,21.11585964202881,19.72040367126465,18.21355932131186,29.82276060417966,13.744646772231043,-6.6085681304049695,False,below_sma,20,2021,2
BKR,2022-01-24,24.235082473754883,26.04130744934082,20.851659434107344,29.31021703322619,13.960848052865426,7.452935130474465,True,timeout,20,2022,1
BKR,2023-11-02,33.237532424926755,32.32724323151602,32.32724323151602,34.602966215042855,2.738738790151746,-2.738738790151746,False,stop,3,2023,11
BKR,2024-05-31,31.954502334594725,30.995054244995117,30.529574108832737,34.091894673237704,4.459240863279933,-3.0025443036266157,False,below_sma,1,2024,5
BKR,2025-09-04,45.468438148498535,47.99009704589844,40.350871740052135,53.14478776116813,11.255206065650604,5.545954512807854,True,timeout,20,2025,9
BALL,2020-10-05,79.03912651062012,84.35447692871094,70.87306851782336,91.28821349981527,10.331665281877237,6.724960981668511,True,timeout,20,2020,10
BAC,2024-02-29,32.61738132476807,35.502606304701516,30.69389800481244,35.502606304701516,5.8971114229057635,8.845667134358656,True,target,15,2024,2
BAC,2024-03-04,33.21266006469727,35.600154876708984,30.676459760164086,40.82126097829681,7.636245635226866,7.188508259684554,True,timeout,20,2024,3
BAX,2021-06-10,75.26791625976563,74.50566972078012,74.50566972078012,76.4112860682439,1.0127110950631777,-1.0127110950631777,False,stop,1,2021,6
BDX,2020-01-27,192.13935287475584,179.95718265626434,179.95718265626434,210.41260820249312,6.340278571892732,-6.340278571892732,False,stop,8,2020,1
BDX,2022-01-19,186.19812927246093,193.253662109375,172.94707897346038,206.07470472096176,7.116639866778946,3.789260861256996,True,timeout,20,2022,1
BDX,2022-04-06,196.401446685791,186.94325256347656,183.33578017134732,215.99994645745653,6.652530689016017,-4.81574564847577,False,below_sma,11,2022,4
BRK-B,2023-06-30,337.59,351.9599914550781,322.94785073449026,359.55322389826455,4.337257995056049,4.256640141911239,True,timeout,20,2023,6
BRK-B,2025-02-24,493.43581329345704,525.8499755859375,450.65646082968544,621.7738706847719,8.66968941274025,6.56907371115421,True,timeout,20,2025,2
BBY,2024-09-27,93.62687530517579,86.16593933105469,80.65065813767139,113.0912010564324,13.859500410761932,-7.968797366997733,False,below_sma,16,2024,9
BIIB,2020-01-14,295.9803012084961,284.62316271964187,284.62316271964187,313.0160089417774,3.837126471755956,-3.837126471755956,False,stop,2,2020,1
BIIB,2021-08-17,346.2921084594727,341.8699951171875,340.5180766059159,375.16226772725656,1.6673876512067631,-1.2769893492397335,False,below_sma,1,2021,8
BIIB,2023-01-23,289.01069274902346,283.6300048828125,278.24740121728416,305.1556300466324,3.724184537727858,-1.8617608279578586,False,below_sma,9,2023,1
BIIB,2025-12-19,173.05200302124024,169.30999755859375,154.7429097581822,200.5156429158273,10.580110569890827,-2.1623589425816694,False,below_sma,16,2025,12
BLK,2024-12-05,1007.9441125488281,986.90283203125,939.5630269917914,1110.5157408843831,6.78421399616282,-2.087544364376533,False,below_sma,20,2024,12
BLK,2025-01-28,1014.1377758789063,980.9389038085938,964.8644377288564,1088.0477831039811,4.858643403490907,-3.2736057032823367,False,below_sma,7,2025,1
BX,2021-02-26,57.78890476226807,53.73651452554257,53.73651452554257,63.86749011735632,7.012401867445349,-7.012401867445349,False,stop,5,2021,2
BX,2024-03-04,118.07502319335937,125.12352038434945,113.37602506603265,125.12352038434945,3.9796715683313053,5.969507352496958,True,target,13,2024,3
BX,2024-09-11,135.30899322509765,153.7582584977819,123.00948304330815,153.7582584977819,9.089942869745734,13.634914304618595,True,target,7,2024,9
XYZ,2021-09-22,258.45930725097656,248.12416843383951,248.12416843383951,273.96201547668215,3.9987489431367726,-3.9987489431367726,False,stop,4,2021,9
BK,2021-02-01,34.79449459075928,37.942287417911636,34.16493602532881,37.942287417911636,1.8093625811644056,9.046812905822028,True,target,8,2021,2
BK,2021-04-26,41.36306362152099,45.72303836548937,38.45641379220874,45.72303836548937,7.027162823113361,10.540744234670052,True,target,10,2021,4
BK,2024-02-29,52.96514350891113,51.89771270751953,50.36536803848777,56.86480671454618,4.908464884997358,-2.0153458117450613,False,below_sma,11,2024,2
BK,2024-11-15,75.49337631225586,77.02540588378906,69.91290149230753,83.86408854217837,7.392005885213511,2.0293562778228607,True,timeout,20,2024,11
BK,2025-02-28,86.24506393432617,79.37911224365234,78.1639071948058,98.36679904360672,9.369993331646203,-7.960979304162966,False,below_sma,7,2025,2
BK,2025-06-18,89.36467575073242,97.40201568603516,81.24081779264009,113.7362496250094,9.090681401622776,8.993866835841864,True,timeout,20,2025,6
BA,2023-02-14,216.26549697875976,198.14999389648438,191.88936675029578,252.82969232145572,11.271391215427235,-8.376510971629735,False,below_sma,7,2023,2
BSX,2022-04-05,43.906498489379885,46.74267677639777,42.015712964701294,46.74267677639777,4.306391057660712,6.45958658649107,True,target,10,2022,4
BSX,2024-08-29,79.86329818725586,83.3499984741211,75.16863278129973,93.94729440512425,5.8783765666032535,4.365835579054031,True,timeout,20,2024,8
BMY,2025-03-07,56.98325328826904,54.47785949707031,51.82512272015978,64.72044914043292,9.05201137256083,-4.396719468655723,False,below_sma,19,2025,3
AVGO,2020-07-31,27.661036720275877,29.93756697095222,26.14334988649165,29.93756697095222,5.486731568060664,8.23009735209099,True,target,18,2020,7
AVGO,2023-12-08,90.80825454711913,101.2640161797143,83.83774679205568,101.2640161797143,7.676072830412737,11.5141092456191,True,target,2,2023,12
BR,2020-12-15,133.53443756103516,141.8402697959944,127.99721607106234,141.8402697959944,4.146661783363487,6.219992675045235,True,target,14,2020,12
BR,2021-01-06,141.11654205322264,131.42445373535156,129.91873393900607,174.70996639587236,7.935149169112488,-6.868144709934626,False,below_sma,14,2021,1
BR,2024-09-10,205.9293356323242,211.47409057617188,197.76586784996215,218.17453730586732,3.964208284019085,2.692552242166957,True,timeout,20,2024,9
BG,2020-09-17,40.36681343078613,45.33591791218737,37.054077109851974,45.33591791218737,8.206583674518305,12.309875511777465,True,target,20,2020,9
CHRW,2021-05-10,89.63150413513183,85.89122772216797,82.79481107501992,99.8865437252997,7.627555875671412,-4.172948394712738,False,below_sma,8,2021,5
CHRW,2024-09-04,99.3376764678955,105.09339904785156,88.3030660074363,115.88959215858432,11.108182567593508,5.794098256179994,True,timeout,20,2024,9
CDNS,2020-09-25,102.68280120849609,106.20999908447266,100.8333694653034,106.20999908447266,1.80111150204934,3.435042513901271,True,target,2,2020,9
CDNS,2023-05-18,214.67159637451172,203.6699981689453,199.96398056542375,236.7330200881437,6.851216489502114,-5.124850418670779,False,below_sma,4,2023,5
CDNS,2023-10-06,241.51049697875976,231.02999877929688,223.12332740587505,269.09125133808686,7.613403890474302,-4.339562184903549,False,below_sma,13,2023,10
CDNS,2024-12-16,310.35509033203124,292.5,276.84229323372597,360.6242859794892,10.79821086950816,-5.753116635828043,False,below_sma,17,2024,12
COF,2020-01-22,94.97699203491212,89.6819839477539,88.09764208433084,115.61504188665593,7.243175218744058,-5.575042937990544,False,below_sma,7,2020,1
COF,2024-10-11,151.11193771362304,181.59140014648438,134.6175427593766,200.59512257636237,10.915348716860139,20.17012215846502,True,timeout,20,2024,10
CAH,2020-01-14,44.15548645019531,46.1246667064882,43.30728790674425,46.1246667064882,1.9209357922209236,4.459650237381037,True,target,2,2020,1
CAH,2023-06-08,80.39369956970215,87.66135709274397,75.54859455434094,87.66135709274397,6.026722294525652,9.040083441788479,True,target,8,2023,6
CAH,2025-12-15,196.99061874389648,213.04356384277344,180.92294404122632,221.09213079790172,8.156568472714643,8.14909116040042,True,timeout,20,2025,12
CARR,2021-03-18,37.88319911956787,40.95381546020508,34.143563074579305,43.49265318705072,9.871489557113259,8.105483200998034,True,timeout,20,2021,3
CARR,2023-09-27,52.7257177734375,54.806547323446694,51.338498073431374,54.806547323446694,2.6310115036593964,3.9465172554890944,True,target,1,2023,9
CARR,2024-11-06,73.31936737060546,73.8143539428711,72.72251201497016,76.30364414878196,0.8140486982360196,0.6751102607904891,True,below_sma,1,2024,11
CAT,2020-01-17,129.74530380249024,126.48869323730469,125.79606916662489,135.66915575628826,3.0438362854945606,-2.510002651150329,False,below_sma,2,2020,1
CAT,2025-08-20,414.2220666503906,457.9519755858011,385.0687940267836,457.9519755858011,7.038078115768945,10.557117173653417,True,target,20,2025,8
CBOE,2021-06-21,110.19017532348633,108.96473693847656,98.78262703923353,144.41282017624474,10.352600175799296,-1.112112201847611,False,timeout,20,2021,6
CBOE,2024-10-22,209.2810693359375,200.73862614699146,200.73862614699146,222.09473411935656,4.081804061901904,-4.081804061901904,False,stop,11,2024,10
COR,2021-09-15,116.46054039001464,111.8224868774414,108.85030358416597,127.87589559878765,6.534605438342251,-3.9825107259856956,False,below_sma,13,2021,9
COR,2022-01-24,124.89473281860352,136.94833882528877,116.85899548081333,136.94833882528877,6.434008189489661,9.65101228423448,True,target,11,2022,1
CNC,2022-01-24,76.75469879150391,76.37000274658203,74.52029753356705,80.76000213623047,2.9110937742148963,-0.5012019472148119,False,below_sma,1,2022,1
CNC,2022-04-07,87.67439758300782,81.87999725341797,80.21170239322872,98.86844036767647,8.511829445664128,-6.608999308040711,False,below_sma,12,2022,4
CF,2021-03-05,41.89938663482666,40.795684814453125,35.670537258884494,51.24266069873991,14.866206587293487,-2.63417178392808,False,timeout,20,2021,3
CF,2021-05-06,46.38986354827881,50.003700256347656,40.17463219946494,65.03555759472043,13.397822009856883,7.790143000329926,True,timeout,20,2021,5
CF,2021-12-14,56.26305759429932,61.91807666542179,52.49304488021767,61.91807666542179,6.700689360443925,10.051034040665881,True,target,5,2021,12
CRL,2025-12-19,195.0893975830078,226.77000427246094,170.8915124568735,231.3862252722093,12.403485492254108,16.23902020404439,True,timeout,20,2025,12
SCHW,2020-02-04,42.734427223205564,43.37697219848633,42.32423824582284,44.785372110119184,0.9598560318599143,1.5035768981404534,True,below_sma,3,2020,2
SCHW,2025-12-19,97.5025373840332,101.44741821289062,90.81718981341322,117.55858009589315,6.856588300146904,4.045926326326997,True,timeout,20,2025,12
CHTR,2020-11-04,628.1252709960937,670.4299926757812,581.8112267865963,697.5963373103398,7.373376991511847,6.735077162649395,True,timeout,20,2020,11
CHTR,2020-11-19,644.0345782470703,652.0,595.693718503812,716.5458678619577,7.505941664628038,1.2368003243878565,True,timeout,20,2020,11
CHTR,2021-06-17,684.139487915039,730.8315565330925,653.0114421696701,730.8315565330925,4.549956009736221,6.824934014604339,True,target,11,2021,6
CVX,2024-05-31,148.86916534423827,145.88856506347656,143.99683270722448,156.17766429975893,3.2728957845281283,-2.002160940359612,False,below_sma,1,2024,5
CB,2024-03-11,246.782108001709,243.2653350830078,231.49621016509036,269.71095475663697,6.194086743319647,-1.4250518188607193,False,below_sma,20,2024,3
